team,,players
Mumbai Indians,, hh pandya
Mumbai Indians,,jj bumrah
Mumbai Indians,,rohit sharma
Mumbai Indians,,sa yadav
Mumbai Indians,,ishan kishan
Mumbai Indians,,tilak verma
Mumbai Indians,,dewald brevis
Mumbai Indians,,tim david
Mumbai Indians,,vishnu vinod
Mumbai Indians,,arjun tendulkar
Mumbai Indians,,shams mulani
Mumbai Indians,,nihal wadhera
Mumbai Indians,,kumar kartikeya
Mumbai Indians,,pp chawla
Mumbai Indians,,akash madhwal
Mumbai Indians,,luke wood
Mumbai Indians,,romerio shepherd
Mumbai Indians,,gerald coetzee
Mumbai Indians,,s gopal
Mumbai Indians,,nuwan thushara
Mumbai Indians,,naman dheer
Mumbai Indians,,anshul kamboj
Mumbai Indians,,mohammad nabi
Mumbai Indians,,shivalik sharma
Mumbai Indians,,quena mafaka
Mumbai Indians,,jp behrendorff
Mumbai Indians,,dilshan madushanka
Chennai Super Kings,,ms dhoni
Chennai Super Kings,,rd gaikwad
Chennai Super Kings,,Moeen Ali
Chennai Super Kings,, Deepak Chahar
Chennai Super Kings,, Tushar Deshpande
Chennai Super Kings,, Shivam Dubey
Chennai Super Kings,, Rajvardhan Hangarkar
Chennai Super Kings,, Ravindra Jadeja
Chennai Super Kings,, Ajay Mandal
Chennai Super Kings,, Mukesh Chaudhary
Chennai Super Kings,, Am Rahane
Chennai Super Kings,, Sheikh Rashid
Chennai Super Kings,, Mj Santner
Chennai Super Kings,, Simarjeet Singh
Chennai Super Kings,, Nishant Sindhu
Chennai Super Kings,, Prashant Solanki
Chennai Super Kings,, Mahish Tikshina
Chennai Super Kings,, Rachin Ravindra
Chennai Super Kings,, Sn Thakur
Chennai Super Kings,, Daryl Mitchell
Chennai Super Kings,, Sameer Rizvi
Chennai Super Kings,, Mustafizur Rahman
Chennai Super Kings,, Avnish Rao Aravali.
